Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
PPP6R3,0.277554422886476,0.0110204725445576,0.0110204725445576,1
WIZ,-0.346763927184276,0.0110204880883731,1,0.0110204880883731
HERC4,0.369409408171488,0.011020616520448,0.011020616520448,1
ESD,0.30246290662625,0.0110375435514204,0.0110375435514204,1
URB1-AS1,0.45932313227001,0.0110376822844342,0.0110376822844342,1
QRICH1,-0.315832699822728,0.0110376822844342,1,0.0110376822844342
HEXIM2,-0.401772948019322,0.011041454503472,1,0.011041454503472
LOC101927021,-0.669743328443829,0.0110423985617732,1,0.0110423985617732
DTNA,-0.46774365749408,0.011043337251965,1,0.011043337251965
ADCY2,0.468993858548424,0.011043337251965,0.011043337251965,1
ZNF578,-0.437845887744702,0.0110486160701105,1,0.0110486160701105
NCAPG,0.228048800428683,0.0110486846489464,0.0110486846489464,1
TONSL-AS1,0.438385880647434,0.0110539882804039,0.0110539882804039,1
NRF1,-0.542101861023538,0.0110543125192273,1,0.0110543125192273
DNAJC30,-0.533617760489104,0.0110559701178566,1,0.0110559701178566
PDE4D,-0.571774142742202,0.0110561592297558,1,0.0110561592297558
RARG,0.450484165632206,0.0110591327010506,0.0110591327010506,1
ACSBG1,0.630811385738157,0.011063322848735,0.011063322848735,1
SLC5A3,0.641102678727765,0.0110636697150998,0.0110636697150998,1
GRAP,0.596735229240437,0.0110662655880837,0.0110662655880837,1
ZNF160,0.773902325242681,0.0110662655880837,0.0110662655880837,1
NPTX2,0.796493416835514,0.0110662655880837,0.0110662655880837,1
FOXJ1,0.480488668867677,0.0110702439859944,0.0110702439859944,1
PRDM16,-0.689686398905716,0.0110707203528176,1,0.0110707203528176
SLN,0.48285043860074,0.0110805341442476,0.0110805341442476,1
FBXO24,0.480457867037368,0.0110838335879435,0.0110838335879435,1
MAGEA8,0.35462553811664,0.0110946766065228,0.0110946766065228,1
ADAM21,0.412732370135128,0.0110993733537183,0.0110993733537183,1
RPS12,0.420563850472344,0.0111101852334536,0.0111101852334536,1
AMN,0.624826852506351,0.0111177788638493,0.0111177788638493,1
VTI1A,0.523761726167514,0.0111309112258355,0.0111309112258355,1
ST3GAL4,0.534427709216682,0.0111376125611584,0.0111376125611584,1
UBE2D3,0.258202856915634,0.0111467974220905,0.0111467974220905,1
C1QL1,0.490711480389443,0.0111605769034683,0.0111605769034683,1
C10orf67,0.427791448833591,0.0111711103730751,0.0111711103730751,1
VPRBP,0.339595938991042,0.0111711103730751,0.0111711103730751,1
DPH6,0.395689285240525,0.0111714609173777,0.0111714609173777,1
HBS1L,-0.355619817068868,0.0111767843949385,1,0.0111767843949385
WWOX,0.523795291822423,0.011178510208718,0.011178510208718,1
PHC3,0.326174060827377,0.0111808824641485,0.0111808824641485,1
KRT27,0.370769697235518,0.0111883611641954,0.0111883611641954,1
